id,predecessor_id,successor_id
1,2223,2713
2,1540,1698
3,2223,2339
4,2223,2641
5,211,1225
6,1540,1786
7,211,813
8,211,345
9,211,479
10,211,1409
11,1540,1624
12,2223,2376
13,2223,2949
14,2223,2328
15,211,441
16,211,1098
17,1540,1966
18,2223,3130
19,211,935
20,211,317
21,1540,1842
22,2223,3058
23,211,690
24,1540,1570
25,211,1032
26,211,515
27,1540,1719
28,2223,2572
29,2223,2302
30,1540,1606
31,211,861
32,211,240
33,211,1316
34,211,212
35,211,302
36,1540,2100
37,1540,1675
38,2223,2512
39,1,2
40,211,265
41,211,399
42,2223,2224
43,1540,2034
44,1540,1880
45,211,374
46,1540,1541
47,211,606
48,1540,1761
49,1540,1649
50,2223,2273
51,211,743
52,2223,2317
53,2223,2448
54,3058,3096
55,3130,3159
56,1409,1500
57,1966,2008
58,2100,2194
59,3058,3119
60,1409,1430
61,3130,3206
62,1316,1377
63,1316,1317
64,1032,1033
65,3058,3059
66,2512,2534
67,2034,2035
68,2641,2692
69,3058,3111
70,3130,3214
71,3058,3106
72,3130,3186
73,2339,2340
74,1966,2022
75,399,422
76,2713,2765
77,2034,2070
78,1966,1967
79,2448,2494
80,1098,1212
81,1225,1296
82,861,918
83,861,903
84,1032,1059
85,2376,2377
86,1098,1099
87,690,718
88,2034,2089
89,441,442
90,2713,2895
91,2100,2150
92,1409,1476
93,1316,1394
94,1032,1043
95,606,669
96,2641,2658
97,2641,2642
98,935,936
99,2949,3016
100,3130,3144
101,1786,1812
102,2376,2403
103,935,983
104,2512,2555
105,1842,1866
106,1880,1939
107,441,461
108,1409,1466
109,2572,2635
110,2448,2468
111,2641,2704
112,479,507
113,2100,2205
114,1966,1998
115,935,967
116,2448,2451
117,606,607
118,2949,3051
119,813,814
120,1098,1169
121,1880,1912
122,743,744
123,2339,2359
124,2572,2573
125,1786,1787
126,3058,3073
127,2949,3006
128,861,862
129,1032,1071
130,690,738
131,1786,1834
132,2512,2513
133,690,707
134,2949,2989
135,813,825
136,399,400
137,743,799
138,2713,2870
139,1842,1843
140,1966,1981
141,1225,1226
142,935,948
143,515,516
144,606,644
145,2572,2603
146,813,848
147,3130,3131
148,1409,1523
149,1316,1330
150,479,480
151,1225,1278
